tweet_id	adr_mention	tweet_text
451439947401031682	0	"""well, the way i see it, you can either start walking daily or you can start taking januvia daily. it's your choice""....me to dm pt"
341735936406732801	0	if i run out of prozac i'ma be pissed man ughhh
498679682779611136	0	my friend told me she liked nexplanon more than nuvaring &amp; i was like i remember when you had nuvaring &amp; we might know each other too well.
349139925746192384	0	@ferrycorsten @ferrycorstencc #listenerschoice #corstenscountdown 313 zehavi &amp; rand - paroxetine (majera remix) hopefully not played :d
349038276369330176	0	@sarahtw33ts i'm on 40mg of fluoxetine. and soon i'll be on ocd medicine i think so life hates me haha.
418946708329205760	1	took too much pregabalin in order to sleep, but all that's happened is i'm spaced as fuck and lost the use of my hands a bit
352241601394913280	0	how am i still awake after 500 mg seroquel, an ambien xr, &amp; two ativan?
531156358100709376	0	advair $300 in this country$35 in france. why? lobbyists.
388166024190648320	0	@merangel do you like humira otherwise? good to have your dad as a remicade reference.
515897448083234816	0	@adamwalton ventolin vocals
340562297296662528	0	"""bananas contain a natural chemical that can make a person happy - the same chemical found in prozac."" @amylindsay87 #learntolovethem"
342214576491880449	0	free 80mg vyvanse from my dads employee for this long day lol #thanks
332464699302088705	0	@magpiepants seroquel? is that some new australian pan-pipe based hip-hop band? in which case, you should be off in no time!
328244815726772224	0	i will take 2.5 mg olanzapine and zopiclone to settle my sleep.i will intervene early, and not leave things until i am euphoric
518108065388691456	0	got like a month’s supply of avodart in blister packs for free, having to take each one out to put in the 30 day supply i just got. weee.
454039772948754432	0	@brooksbeau do u listen to tyler the crestor
447436046490271745	0	surely temazepam can't interact with one beer that long ago... still don't want to risk it though
507833514419843072	1	important counselling point for sildenafil - swallow tablet with a full glass of water quickly as it may cause a stiff neck #preregtips
354256675173183492	0	couldn't get an appointment for a full psych eval until august but i'm really keen to switch my medication from fluoxetine (prozac)
520566090502770688	0	@nozomineko unfortunately one component of advair can cause complications after extended use...  so this isn't too surprising
345005647210901507	0	#allergy #alert on the #antibiotic #clindamycin #health #canada warns that it contains #quetispine #fumarate aka #seroquel talk to your #md
351807944406466563	0	rt @scripdonnadc: #fda expands use of sunovion's latuda in major depressive episodes associated w/ bipolar i disorder http://t.co/nbgwagmka…
539424441566892033	0	"5 film milik sony pictures dibajak baru-baru ini antara lain ""fury"" ""annie"" ""mr. turner"" ""still alice"" &amp; ""to write love on her arms""."
340484704249720833	0	#oomf needs some prozac damn
348629848186568705	0	@nathanfillion i thought this said boniva - that calcium prescription pill and got super confused. #overtired #strongbones
436709253475467265	0	@darthalexander9 @habschick66 @therealsophie1 @msdcool13 latuda ... made in the usa and new. damn thing is a rockstar
348318586592456704	0	@ithl123 @kjq515 oh oh oh oh! this is too fucking perfect...look up olanzapine...ola be curing mental disorders. be healed! i cast thee out!
509730104508186624	0	consider buprenorphine more often esp for bone pain. good safety profile. good in renal and hepatic impairment. dr davis #palcarecongress
533270855066062848	0	@diana_aarp meridia audience survey on independent living in puerto rico. #iheartcaregivers http://t.co/eygzvntzsd
342012373827190784	0	@jennyelliott88 very true. maybe you might need a higher dose of the #humira like 2 shots or even a different #biological drug?!
447532594909827072	0	i laid up for hours in a daze retracing the expanse of your american back with adderall and weed in my veins
535023774949986304	0	@kinyanboy nope, that pastor in buru was not a politician!! any idea how sildenafil citrate works?
342222942853287936	1	@zymymar stopped zoloft cold turkey after i became suicidal, stopped effexor because i was numb.
386185521955086337	0	@probinsoncomedy the #scandalhangover is real like holyfield in this camp. sooo stoked 4 s3. imma need some boniva cuz i stay🙇 2 sr &amp; team
493132359642779648	0	interesting news on future use of atorvastatin #statin #cholesterol thanks to @pjonline_news http://t.co/aditcptoxi #harvardhealth  #drugs
333828274151100418	0	i remember when i got cymbalta &amp; lunesta mixed up &gt;.&lt;
511015600047792129	0	told bro i was 19 and just getting off a suboxone program and he was like 'u go hard bruh'
340270224442019840	0	@chaoticennui im hell on wheels. i just wish cymbalta made a 15mg capsule.
341942503806734337	0	@prozac yeah goodbye mental health
524733150313070593	0	@fauxholgorsen i'll bring the balloons if you bring the suboxone and mescaline.
342148171687940097	0	do i feel weak because of running out of symbicort 400/12, because of strenuous gardening, or because of rivaroxaban (xarelto)?
345957732899254272	0	3 norcos and a seroquel had that answer.
340555351982219265	0	"""@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac."""
351412912709054465	0	@nigel_me i went, he gave me my quetiapine, then i left and he didn't say anything so :)
497565532611035136	0	@kealaflare lol yeah nuvaring or something. np.☺️
540759810577551360	0	fettucini vineyards entangles grimy albuterol flavors and a hedonistic millet aftertaste in their 1998 sauvignon blanc. #mtvstars
352038390339878913	1	my choice was more #surgery on 6-ft small bowel or #biologics like #humira.  now #chemo is my only hope 2 treat #lung side effect. #crohns
341445222435287041	0	levaquin wed upon rope do a mischief heraldic device ruptures.: .kuj
518270181555310593	0	@ladywhowaits i am so sorry  about your chf from avandia  &amp; now a broken leg! oh my! sending you positivity &amp; comfort my friend.
541811470875758592	0	drugs// oxycodone is the best two or three and i'm fucking gone
536923762588135427	0	just spilled half of my thyroid pills all over the bathroom floor. free levothyroxine for everyone!
532325662002933761	0	@myfemaninja @mywhiteninja nexium
498564546672742400	0	@l_marielle i found it easier to just inject with the syringe, do you like the auto injector? of course i'm on aubagio now.
465725995606343680	0	@joeyl06 no. i have a prescription for norco and neurontin but both are at my apartment. i'm an hour away at my parents.
541856911327760384	0	just be on the safe side and take otc melatonin for sleep. ambien and lunesta is a no no. lol
541757585066827776	0	@queenmathlete remember, nuclear utilities like exelon also have coal, gas, and renewables in rate structure. role ambiguity much?
349132601933561858	0	rt @escardio: no definitive recommendation on how/whether #cardioversion can be done on apixaban - sh hohnloser #ehraeuropace
347519743877582852	0	rt @nejm: report: a fixed-dose regimen of dabigatran for ischemic stroke may be ineffective in pts with severe obesity. http://t.co/omohxer…
450579067503661056	0	how many times are we going to be told about thalidomide
331640015182512128	0	a diagnoses of secondary insomnia and being without my trazodone is #whyicantsleepatnight. bummer.
353652100678434816	0	@kellyayotte1 judgement of my sanity latuda and one more thing
540398316509757440	0	awww...when your bff knows how constipated you've been &amp; she gets u free miralax samples. true friendship, folks. lol http://t.co/60fjdfcmbe
340556343473762304	0	"طل!انقلبت شاذي ولا استانست""@uberfacts: bananas contain a natural chemical that can make a person happy - the same chemical found in prozac."""
437585653774422016	0	@dennigregory i understand this had crohns for 26 years now.  i'm on infliximab it's a biologic like humira one made with mouse protein...
498738906003931136	0	@p_codetwit @datamonitormark just so i'm clear, is your argument that exubera = dynatac and afrezza = iphone?
331573372012077057	0	i'll be in my room overdosing on trazodone if you want me peace love and goodbye to you goodbye to everything that i neeeew
352923623511691265	0	skipping the #latuda tonight. dunno if my side effects are that or #cogentin so once both are outta my system i'll take 40mgs instead of
501552144030244867	0	so, why not make a condom out of nuvaring material. seriously.
374985463091568640	0	aliskiren might be the biggest disappointment in the last 10 years. kudos for investing in the science, tho. #esccongress2013
447482389942370304	0	@docrhumato agree more info on prolia + bio needed. some data for ra it not only inhibits erosions but acr scores. don't use combo often.
